oy,kun,harorat
1,1,2.5
2,2,2.6
3,3,-2.6
4,4,-5.1
5,5,-5
6,6,-5.4
7,7,-8.3
8,8,-7.2
9,9,-4.2
10,10,-1
11,11,0
12,12,-3.6
13,13,-5.2
14,14,-4.5
15,15,-1.7
16,16,-1.9
17,17,-2.4
18,18,-3.6
19,19,-4.4
20,20,-1.9
21,21,-1.4
22,22,-1.1
23,23,-3.6
24,24,-7.6
25,25,-7
26,26,-1.7
27,27,-0.2
28,28,-1.3
29,29,1
30,30,-0.5
31,31,-5.3
1,32,-2.9
2,33,-1.9
3,34,-4.4
4,35,-11.8
5,36,-10.8
6,37,-5.5
7,38,-1.4
8,39,-1.3
9,40,-0.6
10,41,0.8
11,42,-4
12,43,-4.7
13,44,-1.4
14,45,1.5
15,46,1
16,47,3.1
17,48,1.8
18,49,-1
19,50,-9.5
20,51,-7.8
21,52,-3.9
22,53,-1.3
23,54,-0.5
24,55,2
25,56,-0.3
26,57,-0.9
27,58,2.6
28,59,3.1
1,60,0.8
2,61,-4
3,62,-6
4,63,-5.3
5,64,-2.3
6,65,-2.5
7,66,-2.4
8,67,-1.2
9,68,-2
10,69,-4.9
11,70,-7
12,71,-4.2
13,72,-6.5
14,73,-5.8
15,74,-1.5
16,75,0.3
17,76,3
18,77,1.5
19,78,2.3
20,79,4.2
21,80,5.8
22,81,5.1
23,82,6.9
24,83,7.1
25,84,7.2
26,85,3.2
27,86,4.4
28,87,8.6
29,88,8.1
30,89,5.6
31,90,6.7
1,91,4.5
2,92,4.5
3,93,-0.1
4,94,-0.6
5,95,-0.9
6,96,-0.8
7,97,1.4
8,98,4.1
9,99,6.9
10,100,9
11,101,7
12,102,8.5
13,103,2.3
14,104,5.4
15,105,11.9
16,106,15.7
17,107,10.4
18,108,11.7
19,109,12.9
20,110,13.1
21,111,9.8
22,112,8.5
23,113,11
24,114,14.1
25,115,17.3
26,116,16.3
27,117,9.2
28,118,1.5
29,119,2.3
30,120,4.6
1,121,9.2
2,122,11.4
3,123,13.6
4,124,14.8
5,125,15.5
6,126,13.9
7,127,11.5
8,128,12.1
9,129,15.7
10,130,17.3
11,131,17.7
12,132,18.9
13,133,19.8
14,134,20.5
15,135,19.5
16,136,17.3
17,137,15.9
18,138,12.3
19,139,12.4
20,140,15.4
21,141,18.3
22,142,20.2
23,143,18.2
24,144,18.3
25,145,20.3
26,146,17.2
27,147,19
28,148,18
29,149,18.2
30,150,14.5
31,151,14.1
1,152,15.8
2,153,17.4
3,154,18.7
4,155,15.1
5,156,15.1
6,157,15.2
7,158,14.6
8,159,16.9
9,160,18.5
10,161,19.7
11,162,18.5
12,163,19.5
13,164,19.5
14,165,21
15,166,18.2
16,167,20.1
17,168,22.1
18,169,23.2
19,170,21.6
20,171,21.2
21,172,22.5
22,173,23.5
23,174,23.1
24,175,20.2
25,176,18.4
26,177,20.9
27,178,18
28,179,18.5
29,180,19.5
30,181,20.8
1,182,20.6
2,183,21.7
3,184,23.4
4,185,23.5
5,186,25.1
6,187,25.4
7,188,26.5
8,189,27.7
9,190,27.2
10,191,24.8
11,192,23.1
12,193,21.8
13,194,17.5
14,195,17.7
15,196,18.3
16,197,19.3
17,198,18.8
18,199,19.5
19,200,20.4
20,201,21.3
21,202,21.7
22,203,23.1
23,204,23.4
24,205,23.3
25,206,24.9
26,207,25.5
27,208,26.3
28,209,24.4
29,210,25.1
30,211,24.8
31,212,25.2
1,213,23.8
2,214,23.1
3,215,22.8
4,216,17.8
5,217,19.5
6,218,22.2
7,219,24.7
8,220,25.6
9,221,25.4
10,222,23.9
11,223,19
12,224,15.7
13,225,15.3
14,226,16.1
15,227,17.6
16,228,18.5
17,229,16.5
18,230,17.2
19,231,18.2
20,232,18.7
21,233,18.4
22,234,19.7
23,235,20.2
24,236,21.3
25,237,20.4
26,238,19.9
27,239,20.2
28,240,20.4
29,241,20.9
30,242,22.2
31,243,22.6
1,244,22.1
2,245,21.7
3,246,20
4,247,20.1
5,248,21
6,249,21
7,250,18.1
8,251,19.4
9,252,20.7
10,253,18.5
11,254,17.2
12,255,15.1
13,256,14.8
14,257,15
15,258,15.4
16,259,17.3
17,260,16.2
18,261,16.2
19,262,17
20,263,18.6
21,264,17.7
22,265,17.6
23,266,16.4
24,267,14.2
25,268,11.8
26,269,12.8
27,270,10.7
28,271,7.9
29,272,3.8
30,273,0.7
1,274,6.7
2,275,11.2
3,276,10.3
4,277,3.7
5,278,3.1
6,279,5.1
7,280,5.9
8,281,9.1
9,282,12.4
10,283,14.3
11,284,14.9
12,285,15.4
13,286,14.5
14,287,12.9
15,288,12.1
16,289,11
17,290,12.7
18,291,4.2
19,292,3.7
20,293,6.4
21,294,9.2
22,295,8.3
23,296,9.3
24,297,9.6
25,298,9.9
26,299,10.6
27,300,10.6
28,301,12.1
29,302,13.1
30,303,15.5
31,304,17.1
1,305,17.3
2,306,17.9
3,307,11.1
4,308,8.5
5,309,10.3
6,310,11.1
7,311,5.8
8,312,4.2
9,313,4.6
10,314,5.5
11,315,7.5
12,316,9.4
13,317,8.9
14,318,5.8
15,319,2.5
16,320,1.5
17,321,1.7
18,322,1.4
19,323,0
20,324,3.4
21,325,6
22,326,7.7
23,327,8.8
24,328,9.6
25,329,7.6
26,330,-0.4
27,331,-4.2
28,332,-0.2
29,333,0.1
30,334,-0.8
1,335,-0.8
2,336,-6.8
3,337,-9.2
4,338,-9.9
5,339,-9.6
6,340,-8.5
7,341,-1.3
8,342,7
9,343,1
10,344,-2.7
11,345,-1.7
12,346,-2.6
13,347,-4.3
14,348,-3.2
15,349,-1.8
16,350,-1
17,351,-0.3
18,352,0.4
19,353,4.4
20,354,4.1
21,355,2.6
22,356,2.4
23,357,1.5
24,358,3.2
25,359,7.2
26,360,-0.3
27,361,-6.9
28,362,-4.3
29,363,2.5
30,364,3.9
31,365,3.2
