oy,kun,Q
1,1,12
2,2,11.7
3,3,11.6
4,4,11.1
5,5,10.9
6,6,10.7
7,7,10.5
8,8,10.4
9,9,10.4
10,10,10.2
11,11,10.1
12,12,10.1
13,13,9.99
14,14,9.85
15,15,9.77
16,16,9.69
17,17,9.61
18,18,9.47
19,19,9.33
20,20,9.25
21,21,9.31
22,22,9.42
23,23,9.6
24,24,9.54
25,25,9.53
26,26,9.53
27,27,9.65
28,28,9.7
29,29,9.94
30,30,10
31,31,9.97
1,32,9.95
2,33,9.86
3,34,9.59
4,35,9.45
5,36,9.3
6,37,9.35
7,38,9.4
8,39,9.46
9,40,9.51
10,41,9.9
11,42,10.2
12,43,10.4
13,44,10.5
14,45,10.7
15,46,11.4
16,47,11.5
17,48,12.5
18,49,13.3
19,50,12.5
20,51,12.1
21,52,12
22,53,11.8
23,54,11.7
24,55,11.7
25,56,11.7
26,57,11.7
27,58,11.7
28,59,11.8
1,60,12.2
2,61,13.1
3,62,12.8
4,63,12.5
5,64,12.5
6,65,12.5
7,66,12.5
8,67,12.8
9,68,12.8
10,69,12.8
11,70,12.5
12,71,12.2
13,72,12.2
14,73,11.8
15,74,12.2
16,75,12.8
17,76,13.4
18,77,14.1
19,78,15.2
20,79,15.5
21,80,17.9
22,81,34.1
23,82,37.6
24,83,33.4
25,84,31.4
26,85,38.4
27,86,39.1
28,87,46.4
29,88,50.9
30,89,63.1
31,90,56.8
1,91,59.9
2,92,55.8
3,93,51.9
4,94,45.6
5,95,41.5
6,96,36.9
7,97,35.5
8,98,34.8
9,99,96.7
10,100,109
11,101,124
12,102,142
13,103,188
14,104,159
15,105,142
16,106,129
17,107,121
18,108,111
19,109,122
20,110,114
21,111,109
22,112,102
23,113,95.5
24,114,91
25,115,86.5
26,116,82.5
27,117,78.8
28,118,73.8
29,119,70.5
30,120,65.3
1,121,60.5
2,122,56.9
3,123,54
4,124,63.4
5,125,72.5
6,126,82.8
7,127,100
8,128,84.2
9,129,74.2
10,130,80.3
11,131,86.8
12,132,86.8
13,133,79.1
14,134,79.1
15,135,80.3
16,136,82.9
17,137,81.6
18,138,100
19,139,88.1
20,140,76.6
21,141,73
22,142,73
23,143,73
24,144,73
25,145,73
26,146,74.2
27,147,74.2
28,148,71.8
29,149,70.6
30,150,71.8
31,151,68.3
1,152,63.7
2,153,61.5
3,154,59.4
4,155,58.3
5,156,60.5
6,157,59.4
7,158,55.2
8,159,54.1
9,160,55.2
10,161,55.2
11,162,55.2
12,163,56.2
13,164,55.2
14,165,52.1
15,166,53.1
16,167,55.2
17,168,53.1
18,169,51.1
19,170,50.1
20,171,51.1
21,172,50.1
22,173,47.2
23,174,49.2
24,175,51.1
25,176,48.2
26,177,44.4
27,178,44.4
28,179,41.7
29,180,39.9
30,181,39.9
1,182,38.2
2,183,36.5
3,184,36.5
4,185,37.4
5,186,38.2
6,187,36.5
7,188,35.7
8,189,34.9
9,190,34.1
10,191,33.3
11,192,31.7
12,193,30.2
13,194,30.2
14,195,28.7
15,196,27.3
16,197,27.3
17,198,26.6
18,199,25.2
19,200,24.5
20,201,23.8
21,202,23.8
22,203,23.2
23,204,23.2
24,205,22.5
25,206,21.9
26,207,21.9
27,208,21.3
28,209,21.3
29,210,21.3
30,211,20.6
31,212,20
1,213,19.4
2,214,18.8
3,215,18.2
4,216,19.4
5,217,17.7
6,218,17.7
7,219,17.1
8,220,17.1
9,221,16.6
10,222,16.6
11,223,16.6
12,224,16
13,225,15.5
14,226,15.5
15,227,15
16,228,15
17,229,14.4
18,230,14.4
19,231,13.9
20,232,13.9
21,233,13.9
22,234,13.9
23,235,13.4
24,236,13.4
25,237,12.9
